Symptoms,Disease,Description,Precautions,Medications,Doctor_Recommendation
"feeling sore throat, loss of smell, fatigue, fever, loss of taste, dry cough",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"feeling vomiting, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"suffering from shortness of breath, fever, body aches, dry cough, loss of smell",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"vomiting, nausea, weakness",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"sensitivity to sound, throbbing pain, sensitivity to light, vomiting, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing headache, loss of appetite",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"suffering from headache, dry cough, sweats, chills",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"i have nausea, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"itchy eyes, itchy throat, runny nose, watery eyes",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"experiencing coughing episodes, wheezing, shortness of breath, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"experiencing diarrhea, low-grade fever, nausea, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have diarrhea, nausea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"feeling severe headache, sensitivity to light",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling low-grade fever, nausea, vomiting, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"experiencing loss of appetite, prolonged high fever, weakness, rash, stomach pain",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling pain behind eyes, rash, joint pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"i have mild fever, sneezing, cough, sore throat, runny nose",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"experiencing stomach pain, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"nausea, sensitivity to sound, severe headache, sensitivity to light",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"suffering from throbbing pain, sensitivity to light, severe headache",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have runny nose, sneezing, itchy throat, watery eyes, itchy eyes, nasal congestion",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"i have high fever, fatigue, joint pain, severe headache",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"stomach cramps, nausea, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"severe headache, sensitivity to sound, sensitivity to light, vomiting",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"suffering from weakness, prolonged high fever, headache, loss of appetite, stomach pain",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling sore throat, congestion",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"feeling dry cough, headache, chills, high fever, fatigue",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"severe headache, pain behind eyes, rash, muscle pain, fatigue",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"suffering from dry cough, chills, sweats, fatigue, high fever",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"weakness, abdominal cramps, fever, vomiting, nausea, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"i have severe headache, muscle pain, rash, high fever",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
